Feature,Importance
BsmtFinType1_LwQ,0.0
Exterior2nd_Wd Shng,0.0
MasVnrType_Stone,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_WdShing,0.0
Exterior1st_Stone,0.0
Exterior1st_ImStucc,0.0
RoofMatl_WdShngl,0.0
Exterior1st_AsphShn,0.0
Exterior1st_CBlock,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_Other,0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_CBlock,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_Stone,0.0
Electrical_SBrkr,0.0
KitchenQual_Fa,0.0
FireplaceQu_Po,0.0
Functional_Maj2,0.0
Functional_Sev,0.0
FireplaceQu_Fa,0.0
Electrical_Mix,0.0
Electrical_FuseP,0.0
Heating_Wall,0.0
Heating_GasW,0.0
HeatingQC_Po,0.0
Heating_Grav,0.0
Heating_OthW,0.0
Electrical_FuseF,0.0
GarageCond_Po,0.0
GarageCond_Gd,0.0
GarageQual_Gd,0.0
GarageQual_Fa,0.0
Fence_MnWw,0.0
PoolQC_Fa,0.0
GarageCond_TA,0.0
GarageQual_Po,0.0
GarageQual_TA,0.0
GarageCond_Fa,0.0
MiscFeature_Othr,0.0
MiscFeature_Shed,0.0
SaleType_ConLw,0.0
SaleType_ConLI,0.0
SaleType_ConLD,0.0
SaleType_Con,0.0
SaleType_CWD,0.0
MiscFeature_TenC,0.0
SaleCondition_AdjLand,0.0
SaleType_Oth,0.0
