Model,RMSE,MAE,R2,Time (s)
Gradient Boosting,28067.403691339066,17458.613828959846,0.8972952220422592,1.5613105297088623
XGBoost,28514.23896932899,17760.125,0.8939990401268005,0.9509482383728027
Random Forest,28631.231542244706,17577.349006849316,0.8931274371541693,14.17149806022644
Decision Tree,39609.71332637924,26107.75,0.7954546720154023,0.09372854232788086
Linear Regression,51405.0942533281,20232.17588793423,0.6554926552253373,0.06354522705078125
